[路線名稱],[起點],[D1],[終點],[D2],[路線],[編碼],[分段第一行],[分段第二行],[X坐標],[Y坐標],[緯度],[經度]
橫嶺山步道,大雪山社區,4.2,橫嶺山隧道口,2.4,TC084,24,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),243458,2680935,24.23395736,120.9355828
橫嶺山步道,大雪山社區,4.3,橫嶺山隧道口,2.3,TC084,23,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),243536,2680887,24.23351976,120.9363516
橫嶺山步道,大雪山社區,4.4,橫嶺山隧道口,2.2,TC084,22,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),243597,2680810,24.23283033,120.9369508
橫嶺山步道,大雪山社區,4.5,橫嶺山隧道口,2.1,TC084,21,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),243672,2680812,24.23284417,120.9376857
橫嶺山步道,大雪山社區,4.6,橫嶺山隧道口,2.0,TC084,20,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),243686,2680899,24.23363161,120.9378245
橫嶺山步道,大雪山社區,4.7,橫嶺山隧道口,1.9,TC084,19,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),243744,2680820,24.23291712,120.9383973
橫嶺山步道,大雪山社區,4.8,橫嶺山隧道口,1.8,TC084,18,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),243811,2680753,24.23231651,120.9390586
橫嶺山步道,大雪山社區,4.9,橫嶺山隧道口,1.7,TC084,17,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),243881,2680722,24.23203635,120.9397448
橫嶺山步道,大雪山社區,5.0,橫嶺山隧道口,1.6,TC084,16,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),243979,2680718,24.23200169,120.9407142
橫嶺山步道,大雪山社區,5.1,橫嶺山隧道口,1.5,TC084,15,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),244039,2680782,24.23257866,120.9413034
