[路線名稱],[起點],[D1],[終點],[D2],[路線],[編碼],[分段第一行],[分段第二行],[X坐標],[Y坐標],[緯度],[經度],[D3]
西巒大山,西巒大山,4.8,登山口,1.7,XL100,17,西巒大山(6.5)⇨倒塌瞭望台(3.85),➡林道叉路(1.68)⇨登山口(0.0),241775,2622436,23.705729,120.919337,6.5
西巒大山,西巒大山,4.7,登山口,1.8,XL100,18,西巒大山(6.5)⇨倒塌瞭望台(3.85),➡林道叉路(1.68)⇨登山口(0.0),241857,2622392,23.705331,120.920141,6.5
西巒大山,西巒大山,4.6,登山口,1.9,XL100,19,西巒大山(6.5)⇨倒塌瞭望台(3.85),➡林道叉路(1.68)⇨登山口(0.0),241923,2622334,23.704807,120.920793,6.5
西巒大山,西巒大山,4.5,登山口,2.0,XL100,20,西巒大山(6.5)⇨倒塌瞭望台(3.85),➡林道叉路(1.68)⇨登山口(0.0),242005,2622315,23.704630,120.921593,6.5
西巒大山,西巒大山,4.4,登山口,2.1,XL100,21,西巒大山(6.5)⇨倒塌瞭望台(3.85),➡林道叉路(1.68)⇨登山口(0.0),242089,2622315,23.704630,120.922420,6.5
西巒大山,西巒大山,4.3,登山口,2.2,XL100,22,西巒大山(6.5)⇨倒塌瞭望台(3.85),➡林道叉路(1.68)⇨登山口(0.0),242151,2622327,23.704742,120.923032,6.5
西巒大山,西巒大山,4.2,登山口,2.3,XL100,23,西巒大山(6.5)⇨倒塌瞭望台(3.85),➡林道叉路(1.68)⇨登山口(0.0),242183,2622285,23.704366,120.923341,6.5
西巒大山,西巒大山,4.1,登山口,2.4,XL100,24,西巒大山(6.5)⇨倒塌瞭望台(3.85),➡林道叉路(1.68)⇨登山口(0.0),242246,2622241,23.703968,120.923960,6.5
西巒大山,西巒大山,4.0,登山口,2.5,XL100,25,西巒大山(6.5)⇨倒塌瞭望台(3.85),➡林道叉路(1.68)⇨登山口(0.0),242333,2622205,23.703645,120.924818,6.5
西巒大山,西巒大山,3.9,登山口,2.6,XL100,26,西巒大山(6.5)⇨倒塌瞭望台(3.85),➡林道叉路(1.68)⇨登山口(0.0),242426,2622185,23.703460,120.925724,6.5
